q1,q2,q3,q4,q5
-1.806939375,2.753495671,2.388408223,-1.134114948,3.136182133
-1.461276916,2.71668013,2.420621821,-1.048244749,3.100577416
-1.112647398,2.66452478,2.509592712,-1.000422727,3.094643297
-0.76253435,2.632311182,2.587825736,-0.956789496,3.072390349
-0.421322481,2.635379144,2.707476245,-0.932005821,3.05755505
-0.11274827,2.661456818,2.820990829,-0.904778684,3.05903858
0.149836516,2.692136436,2.914563663,-0.885929128,3.05607152
0.363464817,2.715146149,2.992796687,-0.876155285,3.078324468
0.473246027,2.725884015,3.064893789,-0.853466004,3.06052211
0.320442451,2.71668013,3.000466592,-0.866032375,3.024917393
0.048956486,2.709010226,2.917631625,-0.879296877,2.964092669
-0.264068316,2.696738379,2.873146179,-0.879995009,2.909202064
-0.606763714,2.705942264,2.824058791,-0.90931654,2.907718534
-0.968745001,2.7350879,2.759631594,-0.949808179,2.889916175
-1.348528647,2.784175288,2.690602455,-1.005309649,2.881014996
-1.627432261,2.834796657,2.655320895,-1.082453202,2.863212638
-1.845511151,2.871612198,2.662990799,-1.173559389,2.855794989
-1.986446488,2.879282103,2.682932551,-1.310742268,2.848377339
-2.059139452,2.883884045,2.765767518,-1.428028394,2.915136183
-1.9671606,2.844000543,2.851670447,-1.413716694,2.892883235
-1.709026404,2.799515097,2.936039395,-1.330988088,2.885465586
-1.391551013,2.778039365,3.028078248,-1.239532835,2.881014996
-1.051822674,2.739689843,-3.179942354,-1.136907475,2.882498526
-0.686874327,2.724350034,-3.025010286,-1.054178868,2.833542041
-0.317475391,2.730485958,-2.807185002,-1.00356432,2.821673802
0.007417649,2.76883548,-2.606233507,-1.000073661,2.83502557
0.272969495,2.808718982,-2.485049018,-0.959232957,2.956675019
0.427256601,2.825592772,-2.432893668,-0.801106127,3.026400923
0.526653102,2.859340351,-2.314777141,-0.715934059,3.084258588
0.525169572,2.865476275,-2.322447045,-0.722217244,3.026400923
0.370882466,2.828660734,-2.455903381,-0.797964534,2.964092669
0.10681415,2.761165575,-2.620039335,-0.865683309,2.870630287
-0.22104595,2.698272359,-2.824058791,-0.951204442,2.823157332
-0.588961356,2.675262646,-3.003534554,-1.027649864,2.762332607
-0.98654736,2.695204398,-3.167670507,-1.0691887,2.768266727
-1.338143938,2.748893728,3.006602515,-1.090481717,2.763816137
-1.631882851,2.805651021,2.949845223,-1.123293907,2.763816137
-1.86034645,2.831728696,2.937573376,-1.169719665,2.763816137
-2.026501794,2.840932581,2.988194745,-1.262920247,2.814256152
-2.065073571,2.825592772,3.017340381,-1.356120829,2.891399705
-1.941940592,2.788777231,3.074097674,-1.322610507,2.903267944
-1.713476993,2.758097614,-3.087903502,-1.197644933,2.852827929
-1.42270514,2.7350879,-2.916097644,-1.130973355,2.882498526
-1.124515637,2.725884015,-2.796447135,-1.053480737,2.873597347
-0.810007306,2.71668013,-2.653786914,-1.006356847,2.855794989
-0.517751923,2.724350034,-2.4543694,-0.960280154,2.797937324
-0.246265957,2.750427709,-2.205864498,-0.940034335,2.783102025
0.00148353,2.782641308,-1.99877708,-0.93793994,2.794970264
0.212144771,2.797981116,-1.866854725,-0.881391272,2.855794989
0.412421302,2.817922868,-1.730330427,-0.858701992,2.870630287
0.54593899,2.802583059,-1.633689632,-0.868824902,2.901784414
0.614181364,2.755029652,-1.561592531,-0.910014672,2.971510318
0.504400154,2.722816053,-1.681243039,-0.927118899,2.956675019
0.267035376,2.713612168,-1.926679979,-0.920137582,2.912169123
-0.043022366,2.704408283,-2.1736509,-0.845786556,2.833542041
-0.385717765,2.728951977,-2.399146089,-0.832522053,2.771233786
-0.792204947,2.793379174,-2.574019909,-0.824842604,2.750464368
-1.160120354,2.879282103,-2.727417996,-0.823446341,2.750464368
-1.461276916,2.965185032,-2.840932581,-0.860447321,2.754914958
-1.651168739,-3.255107417,-2.917631625,-0.942826862,2.759365547
